Time	x	p
328.013	-5.67105	1.73059
329.013	-5.61808	1.79992
330.013	-5.56306	1.86764
331.013	-5.50603	1.93368
332.013	-5.44704	1.99797
333.013	-5.38615	2.06047
334.013	-5.32341	2.12111
335.013	-5.25888	2.17985
336.013	-5.19262	2.23662
337.013	-5.12468	2.29138
338.014	-5.05514	2.34408
339.014	-4.98404	2.39466
340.014	-4.91146	2.4431
341.014	-4.83745	2.48933
342.014	-4.7621	2.53332
343.014	-4.68545	2.57504
344.014	-4.60759	2.61443
345.014	-4.52859	2.65148
346.014	-4.44851	2.68613
347.014	-4.36742	2.71837
348.014	-4.2854	2.74816
349.014	-4.20253	2.77548
350.014	-4.11887	2.8003
351.014	-4.03451	2.8226
352.014	-3.94952	2.84236
353.014	-3.86397	2.85957
354.014	-3.77794	2.8742
355.014	-3.69152	2.88624
356.014	-3.60477	2.89568
357.014	-3.51778	2.90252
358.014	-3.43062	2.90675
359.014	-3.34337	2.90836
360.014	-3.25612	2.90735
361.014	-3.16893	2.90372
362.014	-3.08189	2.89749
363.015	-2.99508	2.88864
364.015	-2.90858	2.8772
365.015	-2.82245	2.86316
366.015	-2.73679	2.84655
367.015	-2.65166	2.82738
368.015	-2.56714	2.80566
369.015	-2.48332	2.78142
370.015	-2.40026	2.75467
371.015	-2.31804	2.72544
372.015	-2.23673	2.69377
373.015	-2.15641	2.65966
374.015	-2.07715	2.62317
375.015	-1.99902	2.58431
376.015	-1.92209	2.54313
377.015	-1.84643	2.49965
378.015	-1.77211	2.45393
379.015	-1.6992	2.406
380.015	-1.62775	2.35591
381.015	-1.55784	2.30369
382.015	-1.48953	2.2494
383.015	-1.42288	2.19309
384.015	-1.35795	2.1348
385.015	-1.29479	2.07459
386.015	-1.23347	2.01251
387.015	-1.17404	1.94863
388.016	-1.11655	1.88299
389.016	-1.06106	1.81565
390.016	-1.00762	1.74668
391.016	-0.956262	1.67614
392.016	-0.907047	1.60409
393.016	-0.860017	1.53059
394.016	-0.815212	1.45572
395.016	-0.772673	1.37954
396.016	-0.732439	1.30212
397.016	-0.694546	1.22352
398.016	-0.659028	1.14383
399.016	-0.625917	1.0631
400.016	-0.595242	0.981417
401.016	-0.567032	0.898851
402.016	-0.541311	0.815476
403.016	-0.518103	0.731367
404.016	-0.497429	0.6466
405.016	-0.479307	0.561252
406.016	-0.463754	0.475397
407.016	-0.450783	0.389116
408.016	-0.440407	0.302483
409.016	-0.432634	0.215579
410.016	-0.427472	0.128481
411.016	-0.424926	0.0412665
412.016	-0.424996	-0.0459846
413.017	-0.427685	-0.133194
414.017	-0.432988	-0.220284
415.017	-0.440902	-0.307176
416.017	-0.451419	-0.393791
417.017	-0.464529	-0.480052
418.017	-0.480222	-0.565881
419.017	-0.498482	-0.6512
420.017	-0.519294	-0.735934
421.017	-0.542638	-0.820005
422.017	-0.568494	-0.903338
423.017	-0.596838	-0.985858
424.017	-0.627645	-1.06749
425.017	-0.660888	-1.14816
426.017	-0.696535	-1.2278
427.017	-0.734556	-1.30633
428.017	-0.774915	-1.38369
429.017	-0.817577	-1.45981
430.017	-0.862503	-1.5346
431.017	-0.909653	-1.60802
432.017	-0.958985	-1.67999
433.017	-1.01045	-1.75045
434.017	-1.06401	-1.81933
435.017	-1.11961	-1.88658
436.017	-1.17721	-1.95213
437.017	-1.23674	-2.01592
438.018	-1.29816	-2.07789
439.018	-1.36141	-2.138
440.018	-1.42644	-2.19618
441.018	-1.49319	-2.25239
442.018	-1.56158	-2.30657
443.018	-1.63158	-2.35867
444.018	-1.70311	-2.40865
445.018	-1.7761	-2.45646
446.018	-1.85049	-2.50206
447.018	-1.92622	-2.54541
448.018	-2.00322	-2.58647
449.018	-2.08141	-2.6252
450.018	-2.16073	-2.66157
451.018	-2.2411	-2.69554
452.018	-2.32246	-2.72709
453.018	-2.40473	-2.75618
454.018	-2.48783	-2.78279
455.018	-2.5717	-2.8069
456.018	-2.65625	-2.82848
457.018	-2.74141	-2.84751
458.018	-2.8271	-2.86399
459.018	-2.91324	-2.87788
460.018	-2.99977	-2.88919
461.018	-3.0866	-2.89789
462.018	-3.17364	-2.90399
463.019	-3.26084	-2.90747
464.019	-3.34809	-2.90834
465.019	-3.43534	-2.90658
466.019	-3.52249	-2.90222
467.019	-3.60947	-2.89524
468.019	-3.6962	-2.88565
469.019	-3.78261	-2.87347
470.019	-3.86861	-2.8587
471.019	-3.95413	-2.84136
472.019	-4.03909	-2.82146
473.019	-4.12342	-2.79903
474.019	-4.20703	-2.77407
475.019	-4.28986	-2.74662
476.019	-4.37183	-2.71669
477.019	-4.45286	-2.68432
478.019	-4.53289	-2.64953
479.019	-4.61183	-2.61236
480.019	-4.68963	-2.57284
481.019	-4.76621	-2.531
482.019	-4.84149	-2.48689
483.019	-4.91542	-2.44053
484.019	-4.98792	-2.39198
485.019	-5.05894	-2.34128
486.019	-5.1284	-2.28847
487.019	-5.19625	-2.2336
488.02	-5.26242	-2.17672
489.02	-5.32685	-2.11788
490.02	-5.38949	-2.05714
491.02	-5.45028	-1.99454
492.02	-5.50916	-1.93015
493.02	-5.56609	-1.86402
494.02	-5.621	-1.79621
495.02	-5.67386	-1.72679
496.02	-5.72461	-1.65581
497.02	-5.77321	-1.58335
498.02	-5.81961	-1.50945
499.02	-5.86378	-1.4342
500.02	-5.90566	-1.35766
501.02	-5.94523	-1.2799
502.02	-5.98246	-1.20098
503.02	-6.01729	-1.12099
504.02	-6.04972	-1.03998
505.02	-6.07969	-0.958041
506.02	-6.1072	-0.875237
507.02	-6.13221	-0.791646
508.02	-6.1547	-0.707343
509.02	-6.17465	-0.622403
510.02	-6.19204	-0.536902
511.02	-6.20686	-0.450919
512.02	-6.2191	-0.364529
513.021	-6.22873	-0.277812
514.021	-6.23577	-0.190844
515.021	-6.24018	-0.103705
516.021	-6.24199	-0.0164726
517.021	-6.24117	0.0707748
518.021	-6.23774	0.157959
519.021	-6.2317	0.245
520.021	-6.22304	0.331821
521.021	-6.21179	0.418344
522.021	-6.19794	0.504489
523.021	-6.18152	0.590181
524.021	-6.16253	0.675342
525.021	-6.141	0.759895
526.021	-6.11694	0.843764
527.021	-6.09037	0.926873
528.021	-6.06132	1.00915
529.021	-6.02982	1.09052
530.021	-5.99589	1.1709
531.021	-5.95957	1.25023
532.021	-5.92088	1.32844
533.021	-5.87986	1.40545
534.021	-5.83655	1.4812
535.021	-5.79099	1.55561
536.021	-5.74321	1.62862
537.021	-5.69327	1.70017
538.022	-5.6412	1.77019
539.022	-5.58706	1.83861
540.022	-5.53089	1.90538
541.022	-5.47274	1.97044
542.022	-5.41266	2.03372
543.022	-5.35071	2.09517
544.022	-5.28695	2.15473
545.022	-5.22143	2.21236
546.022	-5.15421	2.26799
547.022	-5.08535	2.32159
548.022	-5.01491	2.37309
549.022	-4.94297	2.42246
550.022	-4.86957	2.46965
551.022	-4.79479	2.51461
552.022	-4.71869	2.55731
553.022	-4.64135	2.59771
554.022	-4.56283	2.63578
555.022	-4.4832	2.67147
556.022	-4.40254	2.70475
557.022	-4.32092	2.73561
558.022	-4.2384	2.76399
559.022	-4.15508	2.7899
560.022	-4.07101	2.81329
561.022	-3.98628	2.83415
562.022	-3.90096	2.85246
563.023	-3.81513	2.8682
564.023	-3.72887	2.88136
565.023	-3.64225	2.89192
566.023	-3.55535	2.89989
567.023	-3.46826	2.90524
568.023	-3.38104	2.90798
569.023	-3.29378	2.9081
570.023	-3.20655	2.90561
571.023	-3.11944	2.9005
572.023	-3.03252	2.89278
573.023	-2.94587	2.88245
574.023	-2.85958	2.86954
575.023	-2.7737	2.85404
576.023	-2.68833	2.83597
577.023	-2.60354	2.81534
578.023	-2.51941	2.79219
579.023	-2.43601	2.76652
580.023	-2.35342	2.73836
581.023	-2.27171	2.70774
582.023	-2.19096	2.67468
583.023	-2.11123	2.63921
584.023	-2.0326	2.60137
585.023	-1.95515	2.56119
586.023	-1.87893	2.5187
587.023	-1.80403	2.47394
588.024	-1.7305	2.42696
589.024	-1.65841	2.37779
590.024	-1.58783	2.32649
591.024	-1.51882	2.27309
592.024	-1.45144	2.21764
593.024	-1.38576	2.1602
594.024	-1.32183	2.10081
595.024	-1.25971	2.03953
596.024	-1.19946	1.97642
597.024	-1.14113	1.91153
598.024	-1.08477	1.84492
599.024	-1.03043	1.77665
600.024	-0.978169	1.70678
601.024	-0.928026	1.63537
602.024	-0.880047	1.56249
603.024	-0.834276	1.48821
604.024	-0.790755	1.41258
605.024	-0.749522	1.33569
606.024	-0.710614	1.25759
607.024	-0.674066	1.17836
608.024	-0.639912	1.09807
609.024	-0.608182	1.01679
610.024	-0.578905	0.934595
611.024	-0.552107	0.85156
612.024	-0.527811	0.767759
613.025	-0.506041	0.683267
614.025	-0.486815	0.598159
615.025	-0.470152	0.512514
616.025	-0.456065	0.426407
617.025	-0.444567	0.339917
618.025	-0.43567	0.25312
619.025	-0.42938	0.166096
620.025	-0.425704	0.0789221
621.025	-0.424645	-0.00832264
622.025	-0.426203	-0.0955599
623.025	-0.430378	-0.182711
624.025	-0.437166	-0.269698
625.025	-0.44656	-0.356442
